,name,avg_pts,cv
83,J.Nelson,6.370588235294117,0.997890127600888
579,J.Nelson,6.370588235294117,1.0066455697881131
101,J.Nelson,6.370588235294117,0.9989287323218969
193,J.Nelson,6.370588235294117,1.0011611229006587
196,J.Nelson,6.370588235294117,1.0051850380746377
61,J.Nelson,6.370588235294116,0.9986687771422919
307,J.Nelson,6.364705882352942,0.9964485688086097
803,J.Nelson,6.364705882352942,1.005182122238222
763,J.Nelson,6.364705882352941,1.004916766078745
749,J.Nelson,6.364705882352941,1.004210175772237
285,J.Nelson,6.364705882352941,0.9972252814587501
267,J.Nelson,6.364705882352941,0.9961900676202796
210,J.Nelson,6.352941176470588,0.9993704509644742
611,J.Nelson,6.352941176470588,1.0018673574608155
207,J.Nelson,6.352941176470588,0.9953938189277237
115,J.Nelson,6.352941176470588,0.9931875362024193
703,J.Nelson,6.352941176470588,1.0041321242431283
706,J.Nelson,6.352941176470588,1.0082148398652597
225,J.Nelson,6.352941176470588,0.9964303843093388
228,J.Nelson,6.352941176470588,1.0004195025090874
185,J.Nelson,6.352941176470587,0.9961709393978557
571,J.Nelson,6.352941176470587,1.0016036435158822
93,J.Nelson,6.352941176470587,0.9939594966689778
75,J.Nelson,6.352941176470587,0.9929306154674865
188,J.Nelson,6.352941176470587,1.0001569299368946
2243,J.Nelson,6.347058823529412,1.0466310837870487
795,J.Nelson,6.347058823529411,1.0001499167626746
299,J.Nelson,6.347058823529411,0.9914984666064016
773,J.Nelson,6.341176470588235,0.9999543954013116
277,J.Nelson,6.341176470588235,0.9912921332904528
239,J.Nelson,6.335294117647059,0.9907018534843541
735,J.Nelson,6.335294117647059,0.9993647909704576
738,J.Nelson,6.335294117647059,1.0034119877101577
242,J.Nelson,6.335294117647059,0.9946442972838215
698,J.Nelson,6.3352941176470585,1.0031455750331193
217,J.Nelson,6.3352941176470585,0.9914723072599411
603,J.Nelson,6.3352941176470585,0.9968582098106229
202,J.Nelson,6.3352941176470585,0.9943848056078416
220,J.Nelson,6.3352941176470585,0.9954239929017198
